"Department_Number","Department","Address","City","State","Zip","Phone","Metro","County_Number","County","Region","%_of_Missing_Background_Fields","%_Missing_Session_Date_or_Test","Enrollees"
1,"Anderson County Health Department","710 N. Main Street, Suite A","Clinton","TN",37716,8654258800,"No",1,"Anderson","East",0.0158730158730159,0,7
2,"Bedford County Health Department","140 Dover Street","Shelbyville","TN",37160,9316843426,"No",2,"Bedford","South Central",0.0158730158730159,0,21
3,"Benton County Health Department","225 Hospital Drive","Camden","TN",38320,7315844944,"No",3,"Benton","West",0,0,2
4,"Bledsoe County Health Department","334 Frazier Street","Pikeville","TN",37367,4234472149,"No",4,"Bledsoe","Southeast",0,0.0526315789473684,4
6,"Bradley County Health Department","201 Dooley Street SE","Cleveland","TN",37311,4237287020,"No",6,"Bradley","Southeast",0.0148148148148148,0.368421052631579,30
7,"Campbell County Health Department","162 Sharp-Perkins Road","Jacksboro","TN",37757,4235628351,"No",7,"Campbell","East",0.148148148148148,0.25,3
10,"Carter County Health Department","403 East G Street","Elizabethton","TN",37643,4235432521,"No",10,"Carter","Northeast",0.00427350427350427,0,26
11,"Cheatham County Health Department","162 John Mayfield Dr., Ste. 200","Ashland City","TN",37015,6157924318,"No",11,"Cheatham","Mid-Cumberland",0,0,1
12,"Chester County Health Department","301 Quinco Drive","Henderson","TN",38340,7319897108,"No",12,"Chester","West",0,0,2
14,"Clay County Health Department","115 Guffey Street","Celina","TN",38551,9312432651,"No",14,"Clay","Upper Cumberland",0.0444444444444444,0,5
15,"Cocke County Health Department","430 College Street","Newport","TN",37821,4236238733,"No",15,"Cocke","East",0.0444444444444444,0,5
16,"Coffee County Health Department","615 Wilson Avenue","Tullahoma","TN",37388,9314559369,"No",16,"Coffee","South Central",0,0.00448430493273543,47
17,"Crockett County Health Department","209 North Bells Street ","Alamo","TN",38001,7316962505,"No",17,"Crockett","West",0,0,3
18,"Cumberland County Health Department","1503 S. Main St","Crossville","TN",38555,9314846196,"No",18,"Cumberland","Upper Cumberland",0,0.0327868852459016,12
19,"Decatur County Health Department","155 North Pleasant Street  ","Decaturville","TN",38329,7318522461,"No",20,"Decatur","West",0,0,4
20,"DeKalb County Health Department","254 Tiger Drive","Smithville","TN",37166,6155977599,"No",21,"DeKalb","Upper Cumberland",0,0,1
24,"Fayette County Health Department","90 Yum Yum Road  ","Somerville","TN",38068,9014655243,"No",24,"Fayette","West",0,0,1
25,"Fentress County Health Department","240 Colonial Circle, Suite A","Jamestown","TN",38556,9318799936,"No",25,"Fentress","Upper Cumberland",0.0555555555555556,0,10
